"Company Name","Key ID","Address Line 1","City","Phone","URL","Revenue (As Reported)","Employees","techMark Membership","Year Founded","Ultimate Parent Company","Ultimate Parent Country","ANZSIC 2006 Description","Address Type","Cash Equivalents (As Reported)","Assets (USD)","Cash Equivalents (USD)","Corporate Family Members","Fiscal Year End","Parent Company","Ownership Type","Profit Margin","Revenue (USD)","Sales 1 Year Growth (As Reported)"
"Sfc Group","92461258","Lulu Centre Building 3Rd Floor Room 301 Al Salam Street","Abu Dhabi","26776999","http://www.sfcgroup.com","","51","","","","","Cafes, Restaurants and Takeaway Food Services","","","","","0","","","Private","","",""
"Simmons And Simmons","92461406","P.O. Box 5931","Abu Dhabi","26275568","http://www.simmons-simmons.com","","51","","","","","Nonclassifiable Establishments","","","","","0","","","Private","","",""
"Alliance Francaise D Abu Dhabi","92460679","P.O. Box 2646","Abu Dhabi","26666232","http://www.af-aboudabi.net","","51","","","","","Nonclassifiable Establishments","","","","","0","","","Private","","",""
"Italian Embassy","92460856","P.O. Box 46752","Abu Dhabi","24435622","http://www.ambabudhabi.esteri.it","","51","","","","","Nonclassifiable Establishments","","","","","0","","","Private","","",""
"Embassy Of Brazil","92460850","P.O. Box 3027","Abu Dhabi","26320606","http://www.brazilpradenet.com","","51","","","","","Nonclassifiable Establishments","","","","","0","","","Private","","",""
"Khalidia Palace Hotel","120011096","Po Box 4010","Abu Dhabi","6662470","http://www.rotana.com","","51","","","Khalidiya International Trading Company","","Other Professional, Scientific and Technical Services Not Elsewhere Classified","","","","","2","","Khalidiya International Trading Company","Private","","",""
"Petrogas Services Establishment","92507458","Saifulla Mohammed Khoory Bldg P.O. Box 261457","Abu Dhabi","26326135","http://www.petrogas.ae","","50","","","","","Paper Product Wholesaling","","","","","0","","","Private","","",""
"Allied Investment Partners P J S C","120029906","Po Box 109248","Abu Dhabi","26266776","","","50","","","","","Financial Asset Investing","","","","","0","","","Private","","",""
"Middle East Trading & Contracting Company (Metco) W L L","42385989","Po Box 851","Abu Dhabi","26263900","","9000000","50","","","","","Hardware and Building Supplies Retailing","","","","","0","","","Private","","2450266.8",""
"Star Petroleum Technical Services - L L C","122940132","Po Box 55028","Abu Dhabi","26769033","","3651700","50","","","","","Other Mining Support Services","","","","","0","2008-12-31T05:00:00Z","","Private","","994241.95",""
"Aabar Investment PJSC","42390800","","Abu Dhabi","971-26264466","http://www.aabar.com","564900020","50","","2005","International Petroleum Investment Co","United Arab Emirates","Financial Asset Investing","","","","","192","2009-12-31T05:00:00Z","International Petroleum Investment Co","Private","","564900020",""
"Penspen International Ltd.","42386041","PO Box 46562","Abu Dhabi","971-02 6792526","http://www.penspen.com","27799999","50","","","Dar Al-Handasan Consultants Shair & Partners Holdings Ltd","","Engineering Design and Engineering Consulting Services","","","","","27","2011-12-31T05:00:00Z","Penspen Ltd.","Private","","27799999",""
"Industrial Gas Plants","42385931","PO Box 4273","Abu Dhabi","971-02 5554040","","112500000","50","","1960","","","Industrial Gas Manufacturing","","","","","0","2011-12-31T05:00:00Z","","Private","","112500000",""
"Abu Dhabi Marine Equipment & Industrial Supplies","123730652","Po Box 4164","Abu Dhabi","6732300","","24000000","50","","","","","Marine Equipment Retailing","","","","","0","2007-12-31T05:00:00Z","","Private","","6535722.7",""
"Abu Dhabi Shipping Agency L.L.C.","42385745","PO Box 46103","Abu Dhabi","971-2 6449100","http://www.adsa.ae","128000000","50","","1979","","","Other Transport Support Services Not Elsewhere Classified","","","","","0","2011-12-31T05:00:00Z","","Private","","128000000",""
"STALCO Abu Dhabi L.L.C.","42386084","PO Box 3768","Abu Dhabi","971-02 6731318","http://www.stalco.ae","127700000","50","","1975","STALCO Freight International Company L.L.C.","United Arab Emirates","Other Transport Support Services Not Elsewhere Classified","","","","","3","2011-12-31T05:00:00Z","STALCO Freight International Company L.L.C.","Private","","127700000",""
"Hill International Inc.- Abu Dhabi, U.A.E.","50091039","Ste 1601 16th Fl D O Buttti Al Otaiba Bldg Sheikh Khalifa St","Abu Dhabi","971-43372145","http://www.hillintl.com","","50","","","Hill International Inc","United States","Management and Related Consulting Services","","","","","70","","Hill International Inc","Private","","",""
"Fujitsu Services Limited","42385936","PO Box 7237","Abu Dhabi","971-2-6335200","http://www.fujitsu.com","5300000.2","50","","1963","Fujitsu Ltd","Japan","Electronic (except Domestic Appliance) and Precision Equipment Repair","","","","","528","2011-12-31T05:00:00Z","Fujitsu (Fts) Ltd.","Private","","5300000.2",""
"Eldiar Furniture Manufacturing and Decoration L.L.C.","100971500","Mussafah Industrial Area","Abu Dhabi","971-2-5555656","http://www.eldiarfurniture.com","227300000","50","","","Depa Limited","United Arab Emirates","Wooden Furniture and Upholstered Seat Manufacturing","","","","","18","2011-12-31T05:00:00Z","Depa Limited","Private","","227300000",""
"Demar Property Management","120010700","P.O. Box 43636","Abu Dhabi","26222690","http://www.demaruae.com","","50","","","","","Other Professional, Scientific and Technical Services Not Elsewhere Classified","","","","","0","","","Private","","",""
"Lycee Louis Massignon","92461169","P.O. Box 2314","Abu Dhabi","24448085","http://www.llm.ae","","50","","","","","Adult, Community and Other Education","","","","","0","","","Private","","",""
"Abu Dhabi Engineering & Trading Group Of Establishments - Tawam Commercial Est","122985883","Po Box 6767","Abu Dhabi","26730333","","10000000","50","","","","","Other Machinery and Equipment Manufacturing Not Elsewhere Classified","","","","","0","2008-12-31T05:00:00Z","","Private","","2722682.5",""
"Dresser-Rand Arabia","126538766","Industrial Estate Plot 131 Sector M42","Abu Dhabi","971-25014200","","","50","","","Dresser-Rand Group Inc.","United States","Other Machinery and Equipment Manufacturing Not Elsewhere Classified","","","","","66","","Dresser-Rand Company","Private","","",""
"Abu Dhabi Water & Electricity Company","92461557","Al Falah Street","Abu Dhabi","97126943333","http://www.adwec.ae","","49","","","","","Industrial Gas Manufacturing","","","","","2","","","Private","","",""
"Kvaerner Engineering A S","96408627","Po Box 47825","Abu Dhabi","26740400","http://www.akersolutions.com","","45","","","Aker Solutions","Norway","Agricultural and Construction Machinery Wholesaling","","","","","45","","Aker Solutions","Private","","",""
"Steel Construction Engineering Company L.L.C.","48609186","PO Box 3922","Abu Dhabi","971-02 6346334","","29799999","45","","1977","","","Non-Residential Building Construction","","","","","0","2011-12-31T05:00:00Z","","Private","","29799999",""
"Autochim Systems - Abu Dhabi - (Asad) L L C","96930352","Po Box 26166","Abu Dhabi","26265774","http://www.autochimsystems.com","","45","","","","","Other Mining Support Services","","","","","0","","","Private","","",""
"Alnasr Technical Trading Agencies","42385766","Abu Dhabi","Abu Dhabi","971-2-5512900","http://www.alnasr-uae.com/","119900000","45","","1984","","","Other Specialised Industrial Machinery and Equipment Wholesaling","","","","","0","2011-12-31T05:00:00Z","","Private","","119900000",""
"Habib Exchange Co.Llc.","133363761","2370","Abu Dhabi","26272316","","53657001","45","","","","","Other Depository Financial Intermediation","","","","","0","2011-12-31T05:00:00Z","","Private","","14608662",""
"Y&R Abu Dhabi","125631520","Corniche Road Arab Monetary Fund Building 3rd Floor","Abu Dhabi","971-2-621-5050","http://www.yr.com","","45","","","WPP PLC","United Kingdom","Advertising Services","","","","","2675","","Young & Rubicam Inc.","Private","","",""
"Conseco International L T D","120029885","Po Box 3068","Abu Dhabi","26262062","http://www.conseco-international.com","","43","","","","","Other Professional, Scientific and Technical Services Not Elsewhere Classified","","","","","0","","","Private","","",""
"National Centre For Management And Training","120029870","P.O. Box 7796","Abu Dhabi","26721777","http://www.ncmt-uae.com","","41","","","","","Nonclassifiable Establishments","","","","","0","","","Private","","",""
"Mc Connel Dowell Abu Dhabi - L L C","103636931","Po Box 46512","Abu Dhabi","26737339","http://www.mcconnelldowell.com.au","","41","","","","","Other Mining Support Services","","","","","0","","","Private","","",""
"Crown Printing Centre","120011579","P.O. Box 46415","Abu Dhabi","26725747","","","40","","","","","Printing","","","","","0","","","Private","","",""
"Telefon AB LM Ericsson","121414388","Technical Office UAE Office S 404 Al Ferdous Tower","Abu Dhabi","971-26968600","","","40","","","Ericsson","Sweden","Other Electronic Equipment Manufacturing","","","","","281","","Ericsson","Private","","",""
"SNEF Abu Dhabi","42386078","PO Box 46388, Al Qubaisi Bldg., Hamdan St.","Abu Dhabi","971-02 62727119","http://www.snef.fr","11600000","40","","1977","Societe Financiere Du Steir","","Electrical Services","","","","","19","2011-12-31T05:00:00Z","Snef","Private","","11600000",""
"Precision Drilling Corporation - Middle East","121662788","Bin Arar Bld Alnajda St","Abu Dhabi","971-26747333","http://www.precisiondrilling.com","","40","","","Precision Drilling Corporation","Canada","Other Mining Support Services","","","","","50","","Precision Drilling Corporation","Private","","",""
"Llj Property","120011215","Po Box 107729","Dubai","22255555","http://www.lljproperty.com","","40","","","","","Management and Related Consulting Services","","","","","0","","","Private","","",""
"Det Norske Veritas","120010704","Po Box 3149","Abu Dhabi","26436439","http://www.dnv.com","","40","","","Det Norske Veritas As","","Labour Supply Services","","","","","11","","Det Norske Veritas As","Private","","",""
"European Exhibition For Modern Furniture Ltd","42385877","Po Box 4127","Abu Dhabi","26772871","http://www.europeanexhibition.co.ae","4383500.1","40","","","","","Furniture and Floor Covering Wholesaling","","","","","0","2003-03-31T05:00:00Z","","Private","","4383500.1",""
"Yara Decor","48609238","PO Box 7349","Abu Dhabi","971-02 6266610","http://www.adcecogroup.com","23600000","40","","1981","","","Other Professional, Scientific and Technical Services Not Elsewhere Classified","","","","","0","2011-12-31T05:00:00Z","","Private","","23600000",""
"Costain Abu Dhabi Company","42385842","PO Box 3069","Abu Dhabi","971-25553920","http://www.costain-abudhabi.ae","","40","","1987","Costain Group PLC","United Kingdom","Other Heavy and Civil Engineering Construction","","","","","46","","Costain Group PLC","Private","","",""
"Rimal Engineering Products","42386053","","Abu Dhabi","971-26332267","http://www.rimal.ae","115800000","40","","1989","Whirlpool Corporation","United States","Other Hardware Goods Wholesaling","","","","","226","2011-12-31T05:00:00Z","ALNO AG","Private","","115800000",""
"Falcor Engineering & Contracting Services - L L C","92460892","Po Box 48576","Abu Dhabi","26342555","http://www.falcor-eng.com","","40","","","","","Other Mining Support Services","","","","","0","","","Private","","",""
"Tolico Trading & Oilfield Services L L C","120010604","Po Box 7510","Abu Dhabi","6770111","http://www.tolicotrading.com","","40","","","","","Agricultural and Construction Machinery Wholesaling","","","","","0","","","Private","","",""
"Energo Consult L.L.C.","121402657","Hamadan Street Al Qubaissi Building","Abu Dhabi","971-26763554","","","40","","","Energoprojekt holding a.d. Beograd","Serbia","Other Professional, Scientific and Technical Services Not Elsewhere Classified","","","","","16","","Energoprojekt holding a.d. Beograd","Private","","",""
"National Industrial Company L.L.C.","42386016","PO Box 706, Bin Hamuda Bldg., Opposite Electra Rd.","Abu Dhabi","971-02 6721000","","30799999","35","","1968","","","Agricultural and Construction Machinery Wholesaling","","","","","0","2011-12-31T05:00:00Z","","Private","","30799999",""
"Al Dhabi Brokerage Services LLC","123849977","Al Salam St Abu Dhabi Commercial Bank Building 5th Floor","Abu Dhabi","971-26962330","http://www.adbtrade.com","","35","","","Abu Dhabi Investment Authority","United Arab Emirates","Financial Asset Broking Services","","","","","7","","Abu Dhabi Commercial Bank PJSC","Private","","",""
"PLS Pipeline Services Ltd.","42386043","PO Box 4500","Abu Dhabi","971-02 5554513","http://www.piggingassnppsa.com","13000000","35","","1979","","","Metal Coating and Finishing","","","","","0","2011-12-31T05:00:00Z","","Private","","13000000",""
"Pearl Emirates Auto and Machinery Company L.L.C.","42385809","PO Box 46918","Abu Dhabi","971-02 6411446","http://www.peamco.ae","4000000","35","","1987","","","Motor Vehicle Retailing","","","","","0","2010-12-31T05:00:00Z","","Private","","4000000",""
"Veolia Environmental Services Qatar L.L.C.","125518340","","Abu Dhabi","971-2-55-11-557","","","35","","","Veolia Environnement VE SA","France","Waste Collection, Treatment and Disposal Services","","","","","1289","","Veolia Proprete","Private","","",""
"Fichtner Consulting Engineers - Abu Dhabi","92460945","Po Box 3657","Abu Dhabi","24453066","http://www.fichtner.de","","35","","","","","Engineering Design and Engineering Consulting Services","","","","","0","","","Private","","",""
"Syscoms Information Technology","42386091","Syscoms College Building,Near Central Market, Opp. Abu Dhabi Chamberof Commerce, Opp. Abu Dhabi Chamber of Commerce","Abu Dhabi","971-02 6355554","http://www.syscomscollege.com","18299999","35","","","EMKE Group LLC","United Arab Emirates","Management and Related Consulting Services","","","","","3","2011-12-31T05:00:00Z","EMKE Group LLC","Private","","18299999",""
"Baynunah Well Pipes Factory Limited","122146057","Po Box 3353","Abu Dhabi","26794242","","20000000","33","","","","","Iron Smelting and Steel Manufacturing","","","","","0","2007-12-31T05:00:00Z","","Private","","5446435.5",""
"New India Assurance","92507454","Abu Bakr Al-Sediq Road Building Number 21","Abu Dhabi","26440428","http://www.newindia.co.in","","31","","","","","Nonclassifiable Establishments","","","","","0","","","Private","","",""
"Pasteur Central Laboratories Ltd","106238183","P.O. Box 43300","Abu Dhabi","","http://www.pcl-uae.com","","31","","","","","Nonclassifiable Establishments","","","","","0","","","Private","","",""
"Eastern Bechtel Co Ltd","92460842","P.O. Box 2661","Abu Dhabi","26318999","http://www.bechtel.com","","31","","","","","Nonclassifiable Establishments","","","","","0","","","Private","","",""
"Viola Communications Llc","120011375","Abu Dhabi Mall West Tower  6Th Floor","Abu Dhabi","26449444","http://www.viola.ae","","31","","","","","Communication Equipment Manufacturing","","","","","0","","","Private","","",""
"Jgc Corporation","92461077","P.O. Box 28543","Abu Dhabi","","http://www.jgc.co.jp","","31","","","","","Nonclassifiable Establishments","","","","","0","","","Private","","",""
"Fluor Mideast Limited","92460965","Al Obaidly Tower 5 1St 2Nd  14Th And 15Th Floor Al Istiqlal Stre","Abu Dhabi","26172700","http://www.fluor.com","","31","","","","","Nonclassifiable Establishments","","","","","0","","","Private","","",""
"Trowers & Hamlins","92461332","P.O. Box 45628","Abu Dhabi","26267274","http://www.trowers.com","","31","","","","","Nonclassifiable Establishments","","","","","0","","","Private","","",""
"Guardian Insurance Brokers","120011458","P.O. Box 51012","Abu Dhabi","26777116","http://www.gib-uae.com","","31","","","","","Nonclassifiable Establishments","","","","","0","","","Private","","",""
"Amideast","92460686","P.O. Box 5464","Abu Dhabi","","http://www.amideast.org","","31","","","","","Nonclassifiable Establishments","","","","","0","","","Private","","",""
"Dassault Aviation","120010316","P.O. Box 70356","Abu Dhabi","26268388","http://www.dassault-aviation.com","","31","","","","","Nonclassifiable Establishments","","","","","0","","","Private","","",""
"Technical Insurance Services","120012213","P.O. Box 45610","Abu Dhabi","24483444","http://www.technicalinsuranceuae.com","","31","","","","","Nonclassifiable Establishments","","","","","0","","","Private","","",""
"Daly Fluid Technologies Llc","120010381","Mena Abu Dhabi Warehouses","Abu Dhabi","26736349","http://www.dalyft.com","","31","","","","","Nonclassifiable Establishments","","","","","0","","","Private","","",""
"Turner Construction International Llc","92461350","Etisalat Street Old Jashanmal Building  Al Fandal Mazrooey","Abu Dhabi","26500888","http://www.turnerconstruction.com","","31","","","","","Nonclassifiable Establishments","","","","","0","","","Private","","",""
"Waagner-Biro Bin Butti Engineering L.L.C.","120010347","Hamdan Street","Abu Dhabi","971-2-674-16-36","http://www.waagner-biro.com","","31","","","Waagner-Biro AG","Austria","Other Heavy and Civil Engineering Construction","","","","","17","","Waagner-Biro AG","Private","","",""
"Thales","92461338","P.O. Box 47186","Abu Dhabi","26761418","http://www.thalesgroup.com","","31","","","","","Nonclassifiable Establishments","","","","","0","","","Private","","",""
"Mothercare Ltd.","92461186","P.O. Box 26754","Abu Dhabi","26219700","http://www.mothercare.com","","31","","","","","Nonclassifiable Establishments","","","","","0","","","Private","","",""
"Ginorse Uae Wll","92461485","P.O. Box 4492","Abu Dhabi","26727681","http://www.ginorse.com","","31","","","","","Nonclassifiable Establishments","","","","","0","","","Private","","",""
"Safar Travel Services","92028288","Liwa Street","Abu Dhabi","971-26225225","http://www.safar.ae","49000000","30","","1966","Al Fahim","United Arab Emirates","Travel Agency and Tour Arrangement Services","","","","","8","2011-12-31T05:00:00Z","Al Fahim","Private","","49000000",""
"International Development Company","42385937","PO Box 2621","Abu Dhabi","97126222444","http://www.idcuae.com","217800000","30","","1978","","","Engineering Design and Engineering Consulting Services","","","","","0","2009-12-31T05:00:00Z","","Private","","217800000",""
"Hanscomb Consultants Inc","92461063","Po Box 41124","Abu Dhabi","26262461","http://www.hanscomb.com","","30","","","","","Management and Related Consulting Services","","","","","0","","","Private","","",""
"Driver Project Services (UAE) LLC","121399048","Ofc 105 Al Mansoori Plz Sheikh Hamdan St","Abu Dhabi","971-26780466","","","30","","","Driver Group Plc","United Kingdom","Other Heavy and Civil Engineering Construction","","","","","17","","Driver Group Plc","Private","","",""
"Al Hilal Takaful PSC","123762059","PO Box 111644","Abu Dhabi","971-02 4994400","http://www.alhilalbank.ae","225600010","30","","2008","Al Hilal Bank PJSC","United Arab Emirates","General Insurance","","","","","3","2011-12-31T05:00:00Z","Al Hilal Bank PJSC","Private","","225600010",""
"Northcroft Middle East - Abu Dhabi","92507455","Po Box 4670","Abu Dhabi","26446237","http://www.northcroftmiddleeast.com","","30","","","","","Management and Related Consulting Services","","","","","0","","","Private","","",""
"Daff Trading and Oil Services","42385847","PO Box 7399","Abu Dhabi","971-02 6778000","http://www.daffgroup.ae","24100000","30","","1981","Daff Group","Mozambique","Other Hardware Goods Wholesaling","","","","","2","2011-12-31T05:00:00Z","Daff Group","Private","","24100000",""
"ESCAN PJSC","102157221","PO Box 93888","Abu Dhabi","971-04 4474202","http://www.escan.ae","52599998","30","","","","","Land Development and Subdivision","","","","","0","2011-12-31T05:00:00Z","","Private","","52599998",""
"United Technical Services","42386111","PO Box 277","Abu Dhabi","971-26774400","http://www.uts.ae","60000000","30","","1961","Mechanical Equipment Company Inc.","United States","Other Specialised Industrial Machinery and Equipment Wholesaling","","","","","6","2011-12-31T05:00:00Z","Mechanical Equipment Company Inc.","Private","","60000000",""
"Gray Mackenzie & Partners - Abu Dhabi - Limited - Wll","121882480","Po Box 247","Abu Dhabi","24462424","","70000000","30","","","","","Liquor and Tobacco Product Wholesaling","","","","","0","2014-12-31T05:00:00Z","","Private","","19057758",""
"Nexans France - Abu Dhabi","123249949","PO Box 47889","Abu Dhabi","971-26328724","","","28","","2001","Nexans SA","France","Other Electrical and Electronic Goods Wholesaling","","","","","130","2012-12-31T05:00:00Z","Nexans SA","Private","","",""
"NCR","42386023","PO Box 350","Abu Dhabi","971-02 6333700","","36000000","28","","1962","NCR Corporation","United States","Computer and Computer Peripheral Wholesaling","","","","","133","2011-12-31T05:00:00Z","NCR Corporation","Private","","36000000",""
"Al Moherbie Thermoplast L.L.C.","42385993","PO Box 46767","Abu Dhabi","971-02 6448936","","","28","","1976","","","Rigid and Semi-Rigid Polymer Product Manufacturing","","","","","0","","","Private","","",""
"Atiq Al Dhaheri & Company - L L C","122896049","Po Box 44719","Abu Dhabi","25540676","http://www.aadtra.com","32000000","28","","","","","Agricultural and Construction Machinery Wholesaling","","","","","0","2008-12-31T05:00:00Z","","Private","","8712583.5",""
"Habib Exchange Co.Llc.","120010933","Po Box 2370","Abu Dhabi","26272656","http://www.habibexchange.com","","28","","","","","Other Depository Financial Intermediation","","","","","0","","","Private","","",""
"Bovis Lend Lease International Limited","50407619","Po Box 47029","Abu Dhabi","26275677","http://www.bovislendlease.com","","26","","","Lend Lease Group","Australia","Management and Related Consulting Services","","","","","249","","Lend Lease Group","Private","","",""
"Union Gulf Services L.L.C.","92460975","Po Box 46800","Abu Dhabi","26282121","http://www.uniongulf.ae","","26","","","","","Agricultural and Construction Machinery Wholesaling","","","","","0","","","Private","","",""
"Mohammed Bin Ghalib Energy Enterprises","42386708","PO Box 2177","Abu Dhabi","971-02 6263132","","13900000","25","","1980","","","Engineering Design and Engineering Consulting Services","","","","","0","2011-12-31T05:00:00Z","","Private","","13900000",""
"Abu Dhabi National Leasing LLC","125228728","One NBAD Tower 17th Floor Sheikh Khalifa Street","Abu Dhabi","971-26112000","http://www.adnl.ae","","25","","","Government Of Abu Dhabi","","Other Goods and Equipment Rental and Hiring Not Elsewhere Classified","","","","","29","","National Bank of Abu Dhabi","Private","","",""
"Spaceage Electrical Company","92461376","P.O. Box 43693","Abu Dhabi","25500150","http://www.spaceageelectrical.com","","25","","","","","Other Electrical Equipment Manufacturing","","","","","0","","","Private","","",""
"Complete Engeneering - L L C","122044236","Po Box 38068","Abu Dhabi","26774323","","500000","25","","","","","Other Mining Support Services","","","","","0","2008-09-30T04:00:00Z","","Private","","500000",""
"Emirates Safety Services Ltd.","42385869","PO Box 6322, Mussafah","Abu Dhabi","971-2 5555725","http://www.emisafe.ae","6300000.2","25","","1979","Segulah Advisor AB","Sweden","Investigation and Security Services","","","","","53","2011-12-31T05:00:00Z","Gunnebo Industrier AB","Private","","6300000.2",""
"Dutco Tenant Llc","93130925","Po Box 2534","Abu Dhabi","26348495","http://www.dutcotennant.com","","25","","","","","Other Specialised Industrial Machinery and Equipment Wholesaling","","","","","0","","","Private","","",""
"Emirates National Shipping Services - L L C","123249970","Po Box 30180","Abu Dhabi","26338100","","10000000","25","","","","","Other Transport Support Services Not Elsewhere Classified","","","","","0","","","Private","","2722518.7",""
"KPMG Abu Dhabi","42385957","PO Box 7613","Abu Dhabi","971-02 6343318","http://www.kpmg.com","118500000","25","","1973","KPMG LLP","United Kingdom","Accounting Services","","","","","36","2010-12-31T05:00:00Z","KPMG Audit PLC","Private","","118500000",""
"Power Transmission (Gulf) Ltd.","42386044","PO Box 376","Abu Dhabi","971-02 6767628","","13900000","25","","1964","","","Engineering Design and Engineering Consulting Services","","","","","2","2011-12-31T05:00:00Z","","Private","","13900000",""
"NMC Pharmacies","124754329","Electro St Airport Rd","Abu Dhabi","971-26332255","","","25","","","NMC Group","United Arab Emirates","Pharmaceutical and Other Store-Based Retailing","","","","","22","","NMC Group","Private","","",""
"Cimac Electrical and Control Systems LLC","125643301","2nd Floor Sahara Residence Khalifa Street","Abu Dhabi","971-2-6263222","","","25","","","Schneider Electric SE","France","Other Electronic Equipment Manufacturing","","","","","1010","","Schneider Electric SE","Private","","",""
"BP Exploration Operating Co Ltd","42385815","PO Box 46600","Abu Dhabi","971-2-493-5555","http://www.bp.com/contacts.do?categoryId=436&contentId=2000550","636299990","25","","1930","BP plc","United Kingdom","Petroleum Exploration","","","","","5813","2011-12-31T05:00:00Z","BP plc","Private","","636299990",""
"Marina Insurance Brokers","120010364","P.O. Box 42032","Abu Dhabi","26311130","http://www.marinaib.com","","25","","","","","Auxiliary Insurance Services","","","","","0","","","Private","","",""
"Al Fuad Trading Establishment","123167892","Po Box 46395","Abu Dhabi","26774436","http://www.alfuad.com","45000000","25","","","","","Agricultural and Construction Machinery Wholesaling","","","","","0","2008-12-31T05:00:00Z","","Private","","12252071",""
"Serck Services Co. (LLC)","92461283","","Abu Dhabi","971-2-5553108","http://www.serckgulf.com","","25","","","Unipart Group Of Companies Ltd","United Kingdom","Motor Vehicle and Motor Vehicle Part Manufacturing","","","","","83","","Unipart Group Of Companies Ltd","Private","","",""
"National Bank of Oman SAOG","42386009","PO Box 3822, Najda St.","Abu Dhabi","971-02 6348111","http://www.nbo.co.om","1168200000","25","","1973","National Bank of Oman","Oman","Banking","","","","","2","2008-12-31T05:00:00Z","National Bank of Oman","Private","","1168200000",""
"Abu Dhabi National Exhibitions Co.","42385729","PO Box 5546","Abu Dhabi","971-02 4446900","http://www.adnec.ae","24100000","22","","","","","Amusement and Other Recreational Activities Not Elsewhere Classified","","","","","0","2010-12-31T05:00:00Z","","State-Owned","","24100000",""
"Grafik International Llc","96930356","Po Box 51527","Abu Dhabi","6321000","http://www.giuae.ae","","21","","","Al Bawardi Enterprises - L L C","United Arab Emirates","Advertising Services","","","","","5","","Al Bawardi Enterprises - L L C","Private","","",""
"French Business Group","92460986","P.O. Box 73390","Abu Dhabi","26741137","http://www.fbgabudhabi.com","","21","","","","","Nonclassifiable Establishments","","","","","0","","","Private","","",""
"Baynunah Hilton Tower","92461028","Corniche Road","Abu Dhabi","26327777","http://www.hilton.com","","21","","","","","Nonclassifiable Establishments","","","","","0","","","Private","","",""
"Club","120011577","P.O. Box 658","Abu Dhabi","26731111","http://www.the-club.com","","21","","","","","Nonclassifiable Establishments","","","","","0","","","Private","","",""
"Alliot Hadi Shahid","92460680","P.O. Box 46198","Abu Dhabi","26222300","http://www.alliottuae.com","","20","","","","","Accounting Services","","","","","0","","","Private","","",""
"Syscoms College","48284258","Airport Rd.","Abu Dhabi","971-02 6355554","http://www.syscomscollege.com","10500000","20","","","","","Management and Related Consulting Services","","","","","0","2011-12-31T05:00:00Z","","Private","","10500000",""
"FURNICON","96930428","PO Box 51528","Abu Dhabi","971-02 6352570","http://www.furnicon.ae","16299999","20","","","Al Bawardi Enterprises - L L C","United Arab Emirates","Furniture and Floor Covering Wholesaling","","","","","5","2011-12-31T05:00:00Z","Al Bawardi Enterprises - L L C","Private","","16299999",""
"Data Capture Systems Company W.L.L.","48609235","Po Box 47663","Abu Dhabi","26450110","http://www.dcsme.ae","10000000","20","","","","","Computer and Computer Peripheral Wholesaling","","","","","0","2015-03-03T05:00:00Z","","Private","","10000000",""
"Grafik International L.L.C.","92502007","PO Box 4118","Abu Dhabi","971-02 6321000","http://www.giuae.ae","15100000","20","","1989","Al Bawardi Group","United Arab Emirates","Advertising Services","","","","","8","2011-12-31T05:00:00Z","Al Bawardi Group","Private","","15100000",""
"Falcon Tours, Travel and Cargo","50835918","PO Box 43832, Back of Al Muhairy Shopping Ctr., Khalidia","Abu Dhabi","971-02 6348000","http://www.alhamed.com/fttcinfo.htm","62500000","20","","1978","Al Hamed Enterprises","United Arab Emirates","Other Transport Support Services Not Elsewhere Classified","","","","","15","2012-12-31T05:00:00Z","Al Hamed Enterprises","Private","","62500000",""
"Gibca Information Technology - L L C - Gibtek","92461491","P.O. Box 44457","Abu Dhabi","26277100","http://www.gibca.com","","20","","","","","Other Professional, Scientific and Technical Services Not Elsewhere Classified","","","","","0","","","Private","","",""
"Belmour Trading Agencies Establishment","122044255","Po Box 27406","Abu Dhabi","26668880","","15000000","20","","","","","Agricultural and Construction Machinery Wholesaling","","","","","0","2007-12-31T05:00:00Z","","Private","","4084826.5",""
"ITQAN-Al Bawardi Computers","42385805","PO Box 51526","Abu Dhab","971-02 6767666","http://www.itqan.ae","8500000","20","","1984","Al Bawardi Group","United Arab Emirates","Computer System Design and Related Services","","","","","8","2011-12-31T05:00:00Z","Al Bawardi Group","State-Owned","","8500000",""
"Al Benaa Real Estate Investment Co PJSC","111192741","PO Box 107781","Abu Dhabi","971-2-6722285","http://albenaauae.com","55000000","20","","2006","","","Real Estate Services","","","","","0","2011-12-31T05:00:00Z","","Private","","55000000",""
"Sheraton Khalidiya Hotel","92461240","Zayed The First Street Khalidiya Area P.O. Box 6727","Abu Dhabi","26666220","http://www.sheraton.com","","20","","","","","Accommodation","","","","","0","","","Private","","",""
"Al Hutaib Electromechanical Company- W L L","122895655","Po Box P.O.Box 36170","Abu Dhabi","26211740","","3500000","20","","","","","Electrical Services","","","","","0","2009-12-31T05:00:00Z","","Private","","3500000",""
"Ojaco Engineering Co.","43871861","PO Box 46372","Abu Dhabi","971-2 6272340","http://www.adcecogroup.com","19100000","20","","1976","Mohd. Yousuf Jalal","","Other Specialised Industrial Machinery and Equipment Wholesaling","","","","","2","2011-12-31T05:00:00Z","Mohd. Yousuf Jalal","Private","","19100000",""
"National Bank of Bahrain BSC","50779895","PO Box 46080","Abu Dhabi","971-02 6335288","http://www.nbbonline.com","887799990","19","","","National Bank of Bahrain BSC","Bahrain","Banking","","","","","2","2010-12-31T05:00:00Z","National Bank of Bahrain BSC","Private","","887799990",""
